Well_ID,X,Y,Z,AI,SI,Vp,Vs,rho_b,rho_f,rho_m,K0,Kdry,Kf,Ksat,G0,Gdry,Gsat,facies,phi,perm,GR
3,58,186,28,4008724.75,1847536.75,1865.577148,859.8051758,2.148785353,0.915312469,2.647647381,37.65937805,1.270181656,1.369649649,5.360556126,42.00680923,1.588521719,1.588521719,2,0.287970951,1432.204226,23.80552491
3,58,186,29,3961211.5,1812766.25,1852.265503,847.6508789,2.138576508,0.918597341,2.647580147,37.67640305,1.234431744,1.382700562,5.288424492,NaN,1.536592841,1.536592841,2,0.294394819,1536.471996,21.56664655
3,58,186,30,3908627,1776133.125,1837.321167,834.9036255,NaN,0.921287119,2.647525549,NaN,1.19644177,1.39357388,5.204203606,41.82289886,1.482899904,1.482899904,2,0.301334094,1655.194935,21.55557968
3,58,186,31,3854163.75,1739261.625,1821.713379,822.0813599,2.115680695,0.923500299,2.647482634,37.70109177,1.158092618,1.402649522,5.114762306,41.75873184,1.429814696,1.429814696,2,0.308472939,1784.185395,28.15600673
3,58,186,32,NaN,1704132.25,1806.585327,809.8353271,2.104294777,0.925356388,NaN,37.70932007,1.121601224,1.410352468,5.027804852,41.710186,1.380066395,1.380066395,2,0.315404089,1916.333803,28.64054872
3,58,186,33,NaN,1681021,1797.182007,801.678894,2.096875668,0.92695713,2.647425652,37.71552277,1.09786427,1.417064071,4.97576952,NaN,1.347638965,1.347638965,2,0.32,2007.843137,33.4846107
3,58,186,34,3772805.75,1680644,1798.873901,801.3311157,2.097315311,0.928370118,2.647407293,37.72018814,1.09800005,1.423041821,4.991131783,41.64627838,1.346752405,1.346752405,2,0.32,2007.843137,26.82153789
3,58,186,35,3776726,1680397.625,1800.406616,801.0639038,NaN,0.929623663,2.647393703,37.72359467,1.098099232,NaN,5.004834652,41.62628937,1.346105933,1.346105933,2,NaN,2007.843137,32.11377989
3,58,186,36,3780163.25,1680277.75,1801.753784,800.8772583,2.098046541,0.930701196,2.647385359,37.72575378,1.098162055,1.433014512,5.016661644,41.61361694,1.345696211,1.345696211,NaN,0.32,2007.843137,33.92451472
3,58,186,37,3782960.5,1680271.5,1802.853516,800.7705078,2.098318338,0.931559741,2.647381306,37.72672653,1.098190427,1.436722875,5.026108265,41.60791397,1.345511794,1.345511794,2,0.32,2007.843137,32.66809215
3,58,186,38,3784898.5,1680350.5,1803.617432,800.7373047,2.098504066,0.932139099,2.647381544,37.72668839,1.098189235,1.439236045,5.032483101,41.60814667,1.345519304,1.345519304,2,0.32,2007.843137,15.09064648
3,58,186,39,3785777,NaN,1803.966797,800.7788086,NaN,0.932382941,2.647385597,37.72567749,1.098159909,1.440296412,5.035135746,41.61405563,1.345710397,1.345710397,2,0.32,2007.843137,33.05612449
4,80,95,19,8557738,3507503.25,3270.294189,1340.373779,2.616809845,1.076892376,2.673210144,28.42168808,8.710710526,2.556663036,21.71783447,NaN,4.701365471,4.701365471,6,0.035331503,2.428798519,96.67799266
4,80,95,20,8536867,3506556.75,3265.233887,1341.209595,2.614473343,1.077100396,2.672014952,28.37865639,8.689443588,2.559518099,21.60416412,13.6028223,4.703027248,4.703027248,6,0.036078191,2.586202924,97.34770955
4,80,95,21,8520964,NaN,3261.429688,1341.866577,2.612646818,1.07732451,2.671076059,28.34484291,8.672789574,2.562602282,21.51806068,13.61570263,4.70434761,4.70434761,6,0.0366614,2.713775684,92.1899435
4,80,95,22,8509265,3505193.75,3258.621582,1342.313354,NaN,1.077534199,2.670417309,28.32112503,8.660707474,2.565494776,NaN,13.62474155,4.705068111,4.705068111,6,0.03710835,2.814336845,96.49130644
4,80,95,23,8500727,3504554.25,3256.493652,1342.539185,2.61039257,1.077701807,2.670036316,28.30739975,NaN,2.567811489,21.40922737,13.62997246,4.705001354,4.705001354,6,0.037456764,2.894430895,82.16806208
4,80,95,24,6600487,3126988.25,2729.521484,1293.113892,2.418184757,1.013310909,2.639933825,33.02637482,4.784778595,1.90649569,12.62476921,23.60183716,4.043551922,4.043551922,3,0.136324853,141.9825189,61.633763
4,80,95,25,4358149.5,2034718.5,1970.716309,920.0814819,2.21145463,0.921048701,2.647634506,37.66261292,1.483312488,1.392603159,6.092534542,41.98744965,1.872106671,1.872106671,2,0.252625648,947.1865459,36.07020702
4,80,95,26,4371808,2042511.875,1974.700195,922.5812988,2.213909864,0.920863926,2.647633076,NaN,1.4925524,1.391851783,6.120499134,41.9852829,1.884383202,NaN,2,0.251176132,930.2499716,19.29427481
4,80,95,27,4379747.5,2048385.375,1976.843994,924.5597534,2.21552515,0.920102715,2.647641182,37.66097641,1.499130368,1.388764977,6.132938385,41.9972496,1.893854737,1.893854737,NaN,0.250133944,918.2064519,31.80031239
4,80,95,28,4380239,2051260.75,1976.657104,925.6661987,NaN,0.918832302,NaN,37.65678406,1.501789689,1.383643508,6.12651968,42.02234268,1.89878273,1.89878273,2,0.249692409,913.1376152,16.9649996
4,80,95,29,4371807.5,2050166.125,1973.726074,925.5820313,2.21500206,0.917126238,NaN,37.65063858,1.499423981,NaN,6.098621368,42.05920792,1.897596836,1.897596836,2,0.250023718,916.9391837,NaN
4,80,95,30,4353456.5,2044343.125,1967.78479,924.0535889,2.212364197,0.915075302,2.647713184,NaN,1.491192341,1.368716836,6.047889233,42.10671997,1.889082551,1.889082551,2,0.251263675,931.2666908,25.5620731
4,80,95,31,4324896.5,2033345.25,1958.786499,920.9213257,2.207946777,0.912806809,2.647750854,37.63316345,1.476626992,1.359859109,NaN,42.16441727,NaN,1.872551084,2,0.253497492,957.4783261,21.33275166
4,80,95,32,4286560.5,2017081.5,1946.89917,916.1318359,2.201737165,0.910460234,2.647794724,37.62205505,1.455719352,1.350816011,5.881617069,42.23162842,1.84791255,1.84791255,2,0.256748171,996.5532696,29.56902105
4,80,95,33,4239637.5,1995851.5,1932.513184,909.7497559,2.193846703,0.908183753,2.647844076,37.60958481,NaN,1.342157602,NaN,42.30734634,1.815725327,NaN,2,0.26096895,1048.967726,25.45293033
4,80,95,34,4185864.25,1970330.25,1916.163574,901.958313,2.184502602,0.906080604,2.647897482,37.59608078,1.397307992,1.334256053,5.651259422,42.38969803,1.777155757,1.777155757,2,0.266041094,1114.523722,24.21752644
4,80,95,35,4127355.5,1941527.25,1898.476074,893.052002,2.174036026,0.904187262,2.647953033,37.58201981,1.362148643,1.327222228,NaN,42.47582626,NaN,1.733884811,2,0.271777875,1192.147104,28.94622455
4,80,95,36,4066497.75,1910729.625,1880.14209,883.4243164,2.162867308,0.902487516,2.648008585,37.56792831,1.325138927,1.320970535,NaN,42.56257629,1.687984943,1.687984943,2,0.27793499,1279.697437,23.90923982
4,80,95,37,4005838.5,1879394.375,1861.895752,873.5340576,NaN,0.90094316,2.648061991,37.5544014,1.288077354,1.315340996,5.269500256,NaN,1.64171505,1.64171505,NaN,NaN,1373.856252,33.18438661
4,80,95,38,3948060.5,1849047.875,1844.524658,NaN,2.140421629,0.899557531,2.648110867,37.54203796,1.252745867,1.310330868,5.152510643,42.72297668,1.597338438,1.597338438,2,0.290348135,1470.170028,27.94871074
4,80,95,39,3895863.25,1821158,1828.842896,854.9098511,2.130234003,0.898408175,2.648152828,37.53143692,1.220770717,1.306203961,5.04902029,42.78907394,1.556926012,1.556926012,2,0.295996753,1563.309454,23.77853841
5,26,141,19,6109049,2712186.25,NaN,1140.469971,2.378130436,1.033844113,2.640980244,33.39603424,NaN,2.077076435,11.56897831,24.16993904,3.093166828,3.093166828,NaN,0.163551685,247.2310241,67.89365807
5,26,141,20,6240586,2901953.5,2626.293213,1221.260498,2.376195431,1.03012085,2.643026352,35.11837387,3.868011713,2.043915749,11.66421986,27.84955978,3.544041634,3.544041634,4,0.165434959,256.0332247,46.38654716
5,26,141,21,7191379,3713254.5,2952.052246,1524.286377,2.436060905,1.008979917,2.644593716,36.58794022,5.420723438,1.874032855,13.68257523,32.27334213,5.66006279,5.66006279,3,0.127495132,115.8673193,35.25262942
5,26,141,22,NaN,3310458.5,2793.152344,1362.904907,2.428972483,1.00372982,2.641363144,NaN,NaN,1.83613348,12.93432808,NaN,4.511839867,4.511839867,3,0.129693711,122.0356203,45.21214361
5,26,141,23,6624363,3178230,2733.25708,1311.359253,2.423614979,0.99921298,2.640226603,33.23631668,4.868417263,1.8047328,12.54901981,24.04909706,4.167800903,4.167800903,3,0.131998622,128.7373524,57.906981
5,26,141,24,6571601.5,3157549.25,2716.415283,1305.19397,2.419218302,0.996228695,2.640150547,33.18152237,4.830938339,1.784569025,12.35624695,NaN,4.121213913,4.121213913,3,NaN,135.960401,43.78438061
5,26,141,25,4296473.5,2025368.375,1948.619751,918.5842285,2.204880476,0.907061219,2.647685051,37.64984894,1.471610785,1.337928653,5.891564846,NaN,1.860471487,1.860471487,2,0.254394175,968.146003,43.30195759
5,26,141,26,NaN,2006644.375,1939.475952,912.5446167,2.198954821,0.907832623,2.647690773,37.64838028,1.4494313,1.340831757,5.82997942,42.07278061,1.831152439,1.831152439,NaN,0.257915193,1010.854302,31.62431071
5,26,141,27,4234744,1986505.25,1931.101318,905.8735962,NaN,0.909797728,2.647687197,37.64929962,1.426067352,1.348284721,5.778357029,42.06723785,1.799522638,1.799522638,2,0.261679839,1057.985199,25.85322523
5,26,141,28,4204089,1964755.25,1922.7146,NaN,2.186538219,0.91237241,2.647677183,37.65182114,1.401221156,1.358175755,5.729305744,NaN,1.765468001,1.765468001,2,0.265739415,1110.544825,24.2625377
5,26,141,29,4170624.5,1941337.875,1913.479736,890.6845093,2.179602146,0.914878428,2.647664785,37.65498734,1.374752402,1.367943645,5.67491293,42.03312302,1.729119539,1.729119539,2,0.270121412,1169.348225,21.61098474
5,26,141,30,4132806.5,1916427.875,1902.780518,882.340271,2.171982765,0.916738868,2.647653103,37.65793991,1.346804738,1.37528646,5.60923481,42.01542282,1.690941453,1.690941453,2,0.274808797,1234.687358,23.14612243
5,26,141,31,4090341,NaN,1890.428467,873.7234497,2.163711071,0.917613506,2.647644281,37.66014862,1.317881823,1.378765702,5.530148506,42.00218964,1.651761174,1.651761174,2,0.279725135,1305.997079,19.28845915
5,26,141,32,4044292.5,1864301.125,1876.708374,865.1079102,2.15499258,0.91740787,NaN,37.66123199,1.288844228,1.377946138,NaN,41.99572372,1.612821698,1.612821698,2,0.284729027,1381.579194,32.68001658
5,26,141,33,3996873.25,1838962.75,1862.310181,856.8495483,2.146190882,0.916231513,2.64764142,NaN,1.260843515,1.373276114,5.342465401,41.99786758,1.57571435,1.57571435,2,0.28961975,1458.460453,34.61015255
5,26,141,34,3951202,1815725.25,1848.252197,849.3411255,2.137804508,0.914392412,2.647648573,37.65909576,1.235212922,1.366038322,5.246590614,42.00849533,1.542170167,1.542170167,NaN,0.294153973,1532.466254,20.36985833
5,26,141,35,3910938.75,1795839,1835.758301,842.9501343,2.1304214,0.912379146,2.647658348,NaN,1.213329196,1.358201861,5.161134243,42.02346802,1.513802767,1.513802767,2,0.298071321,1598.570241,20.73406303
5,26,141,36,3879761.5,1780396.625,1826.073486,837.9729614,2.124646902,0.910781562,2.647665739,NaN,1.196460724,1.352047205,5.095497131,42.03459167,1.491924286,1.491924286,2,0.301124814,1651.519644,17.79439288
5,26,141,37,3860737,1770261.875,1820.24292,NaN,2.121001005,0.910137653,2.647665024,37.6548996,1.185617447,1.349582434,5.057449341,42.03364944,1.477522612,1.477522612,2,0.303111227,1686.645462,21.81948296
5,26,141,38,3855848.75,1765997.875,1818.943115,833.085022,2.119829178,0.910799205,2.647652864,37.65796661,1.181444287,1.352114916,5.051933765,42.01527023,NaN,1.471226454,2,0.303896428,1700.679659,11.11938482
5,26,141,39,3865644,1767815.625,1822.356934,833.3905029,2.121233225,0.912821829,2.647628784,37.66409683,1.184162259,1.359917164,5.080208778,41.9785881,NaN,1.473280668,NaN,0.303431795,1692.364829,20.96315678
6,64,30,19,3921885.75,1777874.5,1842.879883,NaN,2.128128767,NaN,2.647622824,37.66561127,1.193517208,1.412538886,5.247209549,41.96953583,1.485266209,1.485266209,2,0.301725557,NaN,30.83118144
6,64,30,20,3918391,1776541.625,1841.647095,834.9760742,2.127655745,NaN,2.647610903,37.66861343,1.192657471,NaN,5.238467216,41.95160294,1.483369708,1.483369708,NaN,0.301900182,1665.166265,40.46393156
6,64,30,21,3919130.75,1779314,1841.472534,836.0419922,2.128259182,0.924038231,2.647611618,37.66843033,1.195809245,1.40487349,5.233530521,41.95269012,1.487581253,NaN,2,0.301323131,1655.002248,31.89118572
6,64,30,22,3923880.25,1785658.75,1842.345093,838.4046631,2.129829168,0.922170341,2.647622585,37.66566849,1.20247972,1.39718163,5.233002186,41.96918869,1.497104645,1.497104645,2,0.300091487,1633.460074,22.7679836
6,64,30,23,3931796.5,NaN,NaN,841.6786499,2.13210988,0.919978976,2.647640467,37.66111755,1.21166873,1.388264537,5.236661434,41.99639893,1.510435462,NaN,2,0.298397963,1604.174411,19.97131574
6,64,30,24,3941377.75,1804547.75,1846.327271,845.3352661,2.134712458,0.917733967,2.647661924,37.65566635,1.221929073,1.379246354,5.243142605,42.02903748,1.525447726,NaN,2,0.29651491,1572.062779,21.75984188
6,64,30,25,3950504,NaN,1848.494751,848.7702026,2.137146473,0.915664732,2.647684097,37.65006256,1.231502652,1.371037483,5.249654293,42.06266785,1.539623618,1.539623618,2,0.294764331,1542.632508,26.50776955
6,64,30,26,3956617.75,1820999,1849.861084,851.3825073,2.138872862,0.91390413,2.647705078,37.64476395,NaN,1.364129305,5.252038002,42.09451675,1.55036664,1.55036664,2,0.293477864,1521.26182,26.76915306
6,64,30,27,NaN,1824147.375,1849.669434,852.6513062,2.139382601,0.912488759,2.647724152,37.63993835,1.241321564,1.358626366,5.245604992,42.12356186,1.555361748,1.555361748,2,0.292952555,1512.597622,22.8547628
6,64,30,28,3950012.5,NaN,1847.286255,852.1956177,2.138278484,0.911385536,2.647741079,37.63566971,1.238617778,1.354367614,5.22627306,42.14929962,1.552897811,1.552897811,NaN,0.293409127,1520.126048,20.12689837
6,64,30,29,3934021.5,1814669.875,1842.337402,849.8261108,2.135342598,0.91052264,NaN,37.6320076,1.229823828,1.351055026,5.191589832,42.17140961,1.542153835,1.542153835,2,0.294959248,1545.88941,33.65700615
6,64,30,30,3909161.25,1801586.25,1834.79187,845.5869751,2.130574703,0.909810364,2.647768259,37.62880325,1.215112925,1.348333001,5.141300201,42.19076157,1.523397803,1.523397803,2,0.297586957,1590.286338,28.79032772
6,64,30,31,3876598.25,1783820.25,1824.970947,839.762085,2.124197245,0.909151316,2.647780657,37.62563324,1.195413232,1.345824003,5.077366352,42.20994568,1.497984767,1.497984767,NaN,0.301147221,1651.912852,24.64585903
6,64,30,32,3838473.25,1762797.625,1813.484497,832.8327637,2.116628647,0.908443689,2.6477952,37.62197876,1.172273755,1.343140602,5.003523827,42.23207474,1.468115687,NaN,NaN,0.305381958,1727.464578,25.40076641
6,64,30,33,3797640.75,1740289.75,1801.162842,825.3928223,2.108438253,NaN,2.647812128,37.61769485,NaN,1.340039015,4.924938679,42.25805664,1.436422706,1.436422706,2,0.309951122,1811.788007,23.84017222
6,64,30,34,3757263.5,1718152.5,1788.935547,818.0592041,2.100278854,0.906667233,2.647829294,NaN,1.123615026,1.336450696,4.847434998,NaN,1.405550361,1.405550361,2,0.314474192,1898.199456,11.79138483
6,64,30,35,3720532.25,1698132,1777.760986,811.4088135,2.092819214,0.90563935,NaN,37.60966492,1.102136135,1.33261025,4.77704525,42.30684662,NaN,1.377879262,2,NaN,1979.152543,NaN
6,64,30,36,3706194.5,1691259.75,1773.262817,809.1987915,2.090042353,0.904695034,2.647852898,37.60737228,1.094716072,1.329101443,4.747302532,42.32081604,1.36856544,1.36856544,2,0.32,2007.843137,21.09639859
6,64,30,37,3704341.25,1691279,1772.549438,809.2871094,2.089838028,0.904050052,2.647855997,37.60653687,1.094691753,1.32671535,4.741154194,42.32590866,1.368730187,1.368730187,2,NaN,2007.843137,21.43238235
6,64,30,38,3704025,1691191.75,1772.424805,809.2575684,2.089806557,0.903956711,2.647853613,37.60714722,1.094709516,1.326370835,NaN,42.3221817,1.368609667,1.368609667,2,0.32,2007.843137,NaN
6,64,30,39,3705906.75,1690986.125,1773.143433,809.0761719,2.090020895,0.904646873,2.647844076,37.60955048,1.094779491,1.328922868,4.746922016,42.30755234,1.368136525,1.368136525,NaN,0.32,2007.843137,30.12056273
7,43,174,19,6697548,3185246.25,2751.697266,1308.663086,NaN,1.001098752,2.639969349,33.05179214,4.919061661,1.817710996,12.87173843,23.65571785,4.168414116,NaN,NaN,0.125696149,110.9800796,50.17694997
